Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Bengo_AO	351579	2	2	31371.00	-8.975000	13.82722222
Benguela_AO	2036662	2	2	39826.00	-12.853889	13.92805556
Bié_AO	1338923	2	2	70314.00	-12.349722	17.30305556
Cabinda_AO	688285	2	2	7270.00	-4.934167	12.40527778
Cuando_Cubango_AO	510369	2	2	199049.00	-15.947500	19.38305556
Cuanza_Norte_AO	427971	2	2	24110.00	-8.911111	14.88861111
Cuanza_Sul_AO	1793787	2	2	55600.00	-10.826944	15.03194444
Cunene_AO	965288	2	2	87342.00	-16.510000	15.435
Huambo_AO	1896147	2	2	34270.00	-12.500000	15.66666667
Huíla_AO	2354398	2	2	79023.00	-14.695278	15
Luanda_AO	6542944	2	2	2417.00	-8.916667	13.33916667
Lunda_Norte_AO	799950	2	2	103760.00	-8.635278	19.64833333
Lunda_Sul_AO	516077	2	2	77637.00	-10.259167	20.62472222
Malanje_AO	968135	2	2	97602.00	-9.675278	16.82527778
Moxico_AO	727594	2	2	223023.00	-12.848611	20.9325
Namibe_AO	471613	2	2	57091.00	-15.331944	12.66
Uíge_AO	1426354	2	2	58698.00	-7.106944	15.44055556
Zaire_AO	567225	2	2	40130.00	-6.586944	13.51944444
Balé_BF	213897	2	2	4596.00	11.7	-3.166667
Bam_BF	277092	2	2	4084.00	13.325556	-1.527778
Banwa_BF	267934	2	2	5882.00	12.166667	-4.166667
Bazéga_BF	238202	2	2	3963.00	12.066944	-1.336667
Bougouriba_BF	102507	2	2	2812.00	10.833333	-3.416667
Boulgou_BF	542286	2	2	6692.00	11.5	-0.5
Boulkiemdé_BF	567680	2	2	4269.00	12.25	-2.366667
Ganzourgou_BF	319830	2	2	4178.00	12.238056	-0.785556
Gnagna_BF	407739	2	2	8468.00	12.9714	-0.1436
Gourma_BF	304169	2	2	11117.00	12.083333	-0.5
Houet_BF	902662	2	2	12000.00	11.333333	-4.25
Ioba_BF	197186	2	2	2400.00	11.083333	-3.083333
Kadiogo_BF	1523980	2	2	2805.00	12.333333	-1.5
Kénédougou_BF	283463	2	2	8000.00	11.416667	-5
Komoé_BF	400534	2	2	15277.00	10.633333	-4.75
Komondjari_BF	80047	2	2	5000.00	12.666667	0.666667
Kompienga_BF	75662	2	2	5500.00	11.416667	0.916667
Kossi_BF	272223	2	2	7324.00	12.733333	-3.85
Koulpélogo_BF	259395	2	2	4500.00	11.416667	0.166667
Kouritenga_BF	330342	2	2	1500.00	12.183333	-0.433333
Kourwéogo_BF	154611	2	2	1588.00	12.583333	-1.8
Léraba_BF	124422	2	2	3129.00	10.666667	-5.2
Loroum_BF	141095	2	2	11117.00	13.766667	-2.066667
Mou_Houn_BF	298088	2	2	6668.00	12.45	-3.466667
Nahouri_BF	155463	2	2	3500.00	11.25	-1.25
Namentenga_BF	327749	2	2	6464.00	13.25	-0.583333
Nayala_BF	162869	2	2	3919.00	12.633333	-4.416667
Noumbiel_BF	60000	2	2	1500.00	9.833333	-3
Oubritenga_BF	32220	2	2	2000.00	12.583333	-1.416667
Oudalan_BF	197240	2	2	9000.00	14.45	-0.233333
Passoré_BF	322873	2	2	3867.00	12.95	-2.266667
Poni_BF	50000	2	2	6000.00	10.25	-3.416667
Sanguié_BF	297230	2	2	5178.00	12.316667	-2.466667
Sanmatenga_BF	598232	2	2	10500.00	13.25	-1.083333
Séno_BF	264815	2	2	6863.00	14.033333	-0.033333
Sissili_BF	240830	2	2	7136.00	11.333333	-2.25
Soum_BF	348341	2	2	12222.00	14.1	-1.633333
Sourou_BF	219826	2	2	5765.00	13.066667	-3.066667
Tapoa_BF	341782	2	2	15000.00	12.083333	1.8
Tuy_BF	224159	2	2	5639.00	11.416667	-3.416667
Yagha_BF	159485	2	2	6468.00	13.416667	0.583333
Yatenga_BF	627193	2	2	6990.00	13.583333	-2.416667
Ziro_BF	207079	2	2	5139.00	11.583333	-1.916667
Zondoma_BF	168955	2	2	1200.00	13.166667	-2.166667
Zoundwéogo_BF	244714	2	2	3500.00	11.666667	-1.066667
Bubanza_BI	338023	2	2	1089.04	-3.116667	29.4
Bujumbura_Mairie_BI	497166	2	2	86.52	-3.380000	29.35444444
Bujumbura_Rural_BI	464818	2	2	1059.84	-3.462500	29.4625
Bururi_BI	665128	2	2	2724.40	-3.850000	29.63333333
Cankuzo_BI	228873	2	2	1964.54	-3.133333	30.58333333
Cibitoke_BI	460435	2	2	1635.53	-2.883333	29.25
Gitega_BI	725223	2	2	1978.96	-3.500000	29.95
Karuzi_BI	436443	2	2	1457.40	-3.125000	30.13333333
Kayanza_BI	585412	2	2	1233.24	-3.066666667	29.66666667
Kirundo_BI	628256	2	2	1703.34	-2.58	30.16666667
Makamba_BI	430899	2	2	1959.60	-4.166667	29.75277778
Muramvya_BI	292589	2	2	695.52	-3.250000	29.66666667
Muyinga_BI	632409	2	2	1836.26	-2.833333	30.33333333
Mwaro_BI	273143	2	2	839.60	-3.500000	29.66666667
Ngozi_BI	660717	2	2	1473.86	-2.875000	29.925
Rutana_BI	333510	2	2	1959.45	-3.866667	30.1
Ruyigi_BI	400530	2	2	2338.88	-3.450000	30.31666667
Alibori_BJ	868046	2	2	26242.00	11.333333	2.916666667
Atakora_BJ	769337	2	2	20499.00	10.75	1.666666667
Atlantique_BJ	1396548	2	2	3233.00	6.666666667	2.25
Borgou_BJ	1202095	2	2	25856.00	9.750000	2.75
Collines_BJ	716558	2	2	13931.00	8.000000	2.166666667
Donga_BJ	542605	2	2	11126.00	9.333333	1.783333333
Kouffo_BJ	741895	2	2	2404.00	7.083333	1.833333333
Littoral_BJ	678874	2	2	79.00	6.366667	2.416666667
Mono_BJ	495307	2	2	1605.00	6.583333	1.833333333
Ouémé_BJ	1096850	2	2	1281.00	6.616667	2.516666667
Plateau_BJ	624146	2	2	3264.00	7.166667	2.583333333
Zou_BJ	851623	2	2	5243.00	7.250000	2.166666667
Central_BW	585595	2	2	142093.00	-22	26
Francistown_BW	98961	2	2	79.00	-21.17	27.50777778
Gaborone_BW	231592	2	2	169.00	-24.64638889	25.91194444
Ghanzi_BW	43095	2	2	117910.00	-22.000000	22
Jwaneng_BW	18008	2	2	100.00	-24.601667	24.72805556
Kgalagadi_BW	50752	2	2	105200.00	-25	22
Kgatleng_BW	91660	2	2	7960.00	-24.250000	26.5
Kweneng_BW	304549	2	2	31100.00	-24.000000	25
Lobatse_BW	29007	2	2	42.00	-25.214167	25.68083333
North-East_BW	60264	2	2	5120.00	-21.000000	27.5
North-West_BW	175631	2	2	129930.00	-20	22.5
Selebi-Phikwe_BW	49411	2	2	50.00	-21.975833	27.83472222
South-East_BW	85014	2	2	1780.00	-25.000000	25.75
Southern_BW	197767	2	2	28470.00	-25	25.00
Sowa_BW	3598	2	2	159.00	-20.563611	26.22444444
Bandundu_CD	8937081	2	2	295658.00	-5.033333	18.816667
Bas-Congo_CD	5575000	2	2	53929.00	-5.816667	13.483333
Équateur_CD	8963446	2	2	403275.00	0.047778	18.255833
Kasaï-Occidental_CD	6176697	2	2	154742.00	-5.9	22.45
Kasaï-Oriental_CD	6125508	2	2	170491.00	-6.15	23.6
Katanga_CD	10660361	2	2	496877.00	-11.133333	27.1
Kinshasa_City_CD	11575000	2	2	9965.00	-4.325	15.322222
Maniema_CD	2333000	2	2	132520.00	-2.95	25.95
Nord-Kivu_CD	6655000	2	2	59483.00	-0.566667	28.7
Orientale_CD	9870578	2	2	503239.00	0.516667	25.2
Sud-Kivu_CD	5772000	2	2	65070.00	-2.5	28.866667
Bamingui-Bangoran_CF	43229	2	2	58200.00	8.416666667	20.66666667
Bangui_CF	622771	2	2	67.00	4.383333333	18.56666667
Basse-Kotto_CF	249150	2	2	17604.00	5	21.36666667
Haut-Mbomou_CF	57602	2	2	55530.00	6.333333333	25.66666667
Haute-Kotto_CF	90316	2	2	86650.00	7.416666667	23
Kémo_CF	118420	2	2	17204.00	5.866666667	19.2
Lobaye_CF	246875	2	2	19235.00	4.166666667	17.66666667
Mambéré-Kadéï_CF	364795	2	2	30203.00	4.5	16
Mbomou_CF	164008	2	2	61150.00	5.5	23.33333333
Nana-Grébizi_CF	117816	2	2	19996.00	7.083333333	19.33333333
Nana-Mambéré_CF	233666	2	2	26600.00	5.971111111	15.2625
