County	Population	Land Area	Water Area	Total Area	Latitude	Longitude
Autauga__AL	54571	1539.582	25.776	1565.358	32.536382	-86.64449
Baldwin__AL	182265	4117.522	1133.19	5250.712	30.659218	-87.746067
Barbour__AL	27457	2291.819	50.865	2342.684	31.87067	-85.405456
Bibb__AL	22915	1612.481	9.289	1621.77	33.015893	-87.127148
Blount__AL	57322	1669.962	15.157	1685.119	33.977448	-86.567246
Bullock__AL	10914	1613.057	6.057	1619.113	32.101759	-85.717261
Butler__AL	20947	2011.977	2.727	2014.704	31.751667	-86.681969
Calhoun__AL	118572	1569.19	16.624	1585.814	33.771706	-85.822513
Chambers__AL	34215	1545.009	17.048	1562.057	32.917943	-85.391812
Cherokee__AL	25989	1434.076	119.859	1553.935	34.069515	-85.654242
Chilton__AL	43643	1794.484	20.586	1815.07	32.85406	-86.726628
Choctaw__AL	13859	2365.955	19.059	2385.014	31.991008	-88.248887
Clarke__AL	25833	3207.609	36.543	3244.152	31.685521	-87.818624
Clay__AL	13932	1564.252	5.285	1569.537	33.267809	-85.862051
Cleburne__AL	14972	1450.653	2.366	1453.018	33.671981	-85.516109
Coffee__AL	49948	1758.529	3.945	1762.474	31.402183	-85.989201
Colbert__AL	54428	1534.877	76.431	1611.308	34.703112	-87.801457
Conecuh__AL	13228	2201.895	6.645	2208.54	31.428293	-86.992029
Coosa__AL	11539	1685.891	39.947	1725.838	32.931445	-86.243482
Covington__AL	37765	2668.87	34.526	2703.396	31.243987	-86.448721
Crenshaw__AL	13906	1576.888	5.376	1582.264	31.732826	-86.319222
Cullman__AL	80406	1903.228	52.267	1955.495	34.131923	-86.869267
Dale__AL	50251	1453.371	4.016	1457.388	31.430654	-85.609476
Dallas__AL	43820	2534.807	39.135	2573.942	32.33354	-87.114356
DeKalb__AL	71109	2012.662	4.124	2016.786	34.460929	-85.803992
Elmore__AL	79303	1601.868	99.863	1701.73	32.597229	-86.142739
Escambia__AL	38319	2447.747	20.873	2468.62	31.121748	-87.168429
Etowah__AL	104430	1385.619	35.323	1420.942	34.047638	-86.03442
Fayette__AL	17241	1625.632	4.393	1630.024	33.732249	-87.752049
Franklin__AL	31704	1641.588	32.898	1674.486	34.441988	-87.842815
Geneva__AL	26790	1487.71	11.765	1499.476	31.090866	-85.824346
Greene__AL	9045	1676.007	33.231	1709.238	32.844497	-87.964201
Hale__AL	15760	1667.804	32.526	1700.33	32.752796	-87.623061
Henry__AL	17302	1454.926	16.987	1471.913	31.516978	-85.239971
Houston__AL	101547	1501.738	4.74	1506.478	31.158193	-85.296398
Jackson__AL	53227	2791.665	126.657	2918.322	34.763522	-85.9774
Jefferson__AL	658466	2878.192	32.474	2910.667	33.553444	-86.896536
Lamar__AL	14564	1566.545	1.601	1568.145	33.787085	-88.087431
Lauderdale__AL	92709	1729.328	138.027	1867.355	34.904122	-87.650997
Lawrence__AL	34339	1788.847	68.688	1857.535	34.529776	-87.321865
Lee__AL	140247	1573.511	21.53	1595.041	32.604064	-85.353048
Limestone__AL	82782	1450.228	122.382	1572.61	34.810239	-86.9814
Lowndes__AL	11299	1854.2	23.724	1877.923	32.147888	-86.650586
Macon__AL	21452	1577.005	11.194	1588.199	32.387027	-85.692887
Madison__AL	334811	2076.117	28.771	2104.888	34.764238	-86.55108
Marengo__AL	21027	2530.112	14.995	2545.107	32.247591	-87.791091
Marion__AL	30776	1922.527	3.313	1925.84	34.138219	-87.881551
Marshall__AL	93019	1465.523	148.503	1614.026	34.309564	-86.321668
Mobile__AL	412992	3184.223	1073.751	4257.974	30.684573	-88.196568
Monroe__AL	23068	2656.485	22.643	2679.128	31.580332	-87.383266
Montgomery__AL	229363	2031.191	40.571	2071.762	32.203651	-86.203831
Morgan__AL	119490	1500.476	51.065	1551.541	34.454484	-86.846402
Perry__AL	10591	1863.92	10.919	1874.839	32.639005	-87.293827
Pickens__AL	19746	2282.837	22.578	2305.415	33.296809	-88.096878
Pike__AL	32899	1740.716	2.363	1743.078	31.798726	-85.941997
Randolph__AL	22913	1503.617	9.285	1512.902	33.296475	-85.464068
Russell__AL	52947	1660.546	15.673	1676.219	32.289811	-85.18698
St_Clair__AL	83593	1636.619	56.3	1692.919	33.712963	-86.315663
Shelby__AL	195085	2032.96	63.701	2096.661	33.262937	-86.678104
Sumter__AL	13763	2341.057	24.436	2365.494	32.597481	-88.200057
Talladega__AL	82291	1908.24	60.944	1969.184	33.369277	-86.175805
Tallapoosa__AL	41616	1855.78	128.809	1984.589	32.863369	-85.799553
Tuscaloosa__AL	194656	3423.329	76.396	3499.725	33.290202	-87.52286
Walker__AL	67023	2049.177	36.264	2085.441	33.791571	-87.301092
Washington__AL	17581	2797.722	21.651	2819.373	31.406974	-88.202078
Wilcox__AL	11670	2301.2	48.985	2350.185	31.99033	-87.302205
