Name	Population	Land Area	Water Area	Total Area	Lat	Long
Santa_Cruz_AR	272,524	2	2	243,943	-48.62	-70.01
Tierra_del_Fuego_AR	126,190	2	2	21,263	-54.362	-67.638
San_Juan_AR	680,427	2	2	89,651	-30.87	-68.98
Chubut_AR	506,668	2	2	224,686	-43.3	-65.1
Mendoza_AR	1,741,610	2	2	148,827	-32.890278	-68.847222
Neuquén_AR	550,334	2	2	94,078	-38.951667	-68.074444
Buenos_Aires_AR	15,594,428	2	2	307,571	-33.7	-61
La_Pampa_AR	316,940	2	2	143,440	-36.616667	-64.283333
Río_Negro_AR	633,374	2	2	203,013	-40.8	-63
San_Luis_AR	431,588	2	2	76,748	-33.3	-66.35
Córdoba_AR	3,304,825	2	2	165,321	-31.416667	-64.183333
Catamarca_AR	367,820	2	2	102,602	-28.466667	-65.783333
Jujuy_AR	672,260	2	2	53,219	-23.75	-65.5
La_Rioja_AR	331,847	2	2	89,680	-29.433333	-66.85
Salta_AR	1,215,207	2	2	155,488	-24.783333	-65.416667
Santiago_del_Estero_AR	896,461	2	2	136,351	-27.783333	-64.266667
Tucumán_AR	1,448,200	2	2	22,524	-26.94	-65.34
Chaco_AR	1,053,466	2	2	99,633	-27.451389	-58.986667
Formosa_AR	527,895	2	2	72,066	-26.183333	-58.175
Corrientes_AR	993,338	2	2	88,199	-28.66	-57.63
Entre_Ríos_AR	1,236,300	2	2	78,781	-32.0477	-60.281
Santa_Fe_AR	3,200,736	2	2	133,007	-33.7227	-62.246
Misiones_AR	1,097,829	2	2	29,801	-26.92	-54.52
Ciudad_de_Buenos_Aires_AR	2,891,082	2	2	203	-34.603333	-58.381667
Aruba_AW	104,822	2	2	178.91	12.5	-69.966667
Chuquisaca_BO	576,153	2	2	51,524	-20	-64.416667
Cochabamba_BO	1,758,143	2	2	55,631	-17.333333	-65.5
El_Beni_BO	421,196	2	2	213,564	-14	-65
La_Paz_BO	2,706,351	2	2	133,985	-15	-68.333333
Oruro_BO	494,178	2	2	53,588	-18.666667	-67.666667
Pando_BO	110,436	2	2	63,827	-11.183333	-67.183333
Potosí_BO	823,517	2	2	118,218	-20.666667	-66.666667
Santa_Cruz_BO	2,655,084	2	2	370,621	-18.418	-62.345
Tarija_BO	482,196	2	2	37,623	-21.583333	-63.833333
Bonaire_BQ	18,905	2	2	294	12.183333	-68.25
Acre_BR	790,101	2	2	152,581.4	-9.11	-70.52
Alagoas_BR	3,321,730	2	2	27,767.7	-9.57	-36.55
