Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Abu_Dhabi_AE	1678000	2	2	67340.00	23.500000	54.500000
Ajman_AE	258000	2	2	259.00	25.416667	55.500000
Dubay_AE	2502715	2	2	3885.00	23.500000	54.500000
Fujayrah_AE	127000	2	2	1165.00	25.266667	56.333333
Neutral_Zone_AE	15	2	2	15.00	24.815000	55.95
Oman_and_Ajman_AE	15000	2	2	20.00	24.815000	56.097778
Ras_Al_Khaymah_AE	205000	2	2	1684.00	25.783333	55.950000
Sharjah_AE	678000	2	2	2590.00	25.433333	55.383333
Umm_Al_Qaywayn_AE	68000	2	2	777.00	25.986389	55.940000
Badakhshan_AF	950953	2	2	44059.00	36.750000	72.000000
Badghis_AF	495958	2	2	20591.00	35.000000	63.750000
Baghlan_AF	910784	2	2	21118.00	35.750000	69.000000
Balkh_AF	1325659	2	2	17249.00	36.750000	67.000000
Bamyan_AF	747218	2	2	14175.00	34.750000	67.250000
Daykundi_AF	924339	2	2	18088.00	33.750000	66.250000
Farah_AF	507405	2	2	48471.00	32.500000	62.500000
Faryab_AF	998147	2	2	20293.00	36.250000	64.833333
Ghazni_AF	1228831	2	2	22915.00	33.333333	67.750000
Ghor_AF	790296	2	2	36479.00	34.000000	65.000000
Hilmand_AF	924711	2	2	58584.00	31.000000	64.000000
Hirat_AF	1890202	2	2	54778.00	34.500000	62.000000
Jawzjan_AF	540255	2	2	11798.00	36.833333	65.833333
Kabul_AF	4372977	2	2	4462.00	34.500000	69.416667
Kandahar_AF	1226593	2	2	54022.00	31.000000	65.750000
Kapisa_AF	441010	2	2	1842.00	35.000000	69.583333
Khost_AF	574582	2	2	4152.00	33.383333	69.883333
Kunar_AF	450652	2	2	4942.00	34.950000	71.133333
Kunduz_AF	1010037	2	2	8040.00	36.750000	68.750000
Laghman_AF	445588	2	2	3843.00	34.783333	70.183333
Logar_AF	392045	2	2	3880.00	34.000000	69.250000
Nangarhar_AF	1517388	2	2	7727.00	34.333333	70.416667
