Name	DUMMY	DUMMY	DUMMY	DUMMT	LAT	LONG
Division_No__6_AB	2	2	2	2	50.75	-113.972
Division_No__11_AB	2	2	2	2	53.543997	-113.489856
Division_No__8_AB	2	2	2	2	52.266667	-113.8
Division_No__2_AB	2	2	2	2	49.76	-112.26
Division_No__19_AB	2	2	2	2	55.178056	-118.783333
Division_No__10_AB	2	2	2	2	53.28	-110.01
Division_No__1_AB	2	2	2	2	50.033333	-110.666667
Division_No__13_AB	2	2	2	2	54.715556	-113.253611
Division_No__16_AB	2	2	2	2	56.74	-111.43
Division_No__12_AB	2	2	2	2	54.464167	-110.1825
Division_No__17_AB	2	2	2	2	55.28	-114.78
Division_No__5_AB	2	2	2	2	51.04	-113.4
Division_No__7_AB	2	2	2	2	52.72	-111.72
Division_No__3_AB	2	2	2	2	49.73	-113.4
Division_No__15_AB	2	2	2	2	51.09	-115.35
Division_No__14_AB	2	2	2	2	53.58	-116.42
Division_No__9_AB	2	2	2	2	52.37	-114.92
Division_No__18_AB	2	2	2	2	53.885833	-119.121667
Division_No__4_AB	2	2	2	2	51.644722	-111.933056
Greater_Vancouver_BC	2	2	2	2	49.249444	-122.979722
Capital_BC	2	2	2	2	48.429167	-123.366389
Fraser_Valley_BC	2	2	2	2	49.583333	-121.833333
Central_Okanagan_BC	2	2	2	2	49.888028	-119.495417
Nanaimo_BC	2	2	2	2	49.25	-124.333333
Thompson_Nicola_BC	2	2	2	2	51	-120.5
Fraser_Fort_George_BC	2	2	2	2	53.91	-122.77
North_Okanagan_BC	2	2	2	2	50.45	-119.18
Okanagan_Similkameen_BC	2	2	2	2	49.416667	-120
Cowichan_Valley_BC	2	2	2	2	48.833333	-124.216667
Comox_Valley_BC	2	2	2	2	49.75	-125
Cariboo_BC	2	2	2	2	52	-122
Peace_River_BC	2	2	2	2	56.666667	-122.75
Central_Kootenay_BC	2	2	2	2	49.916667	-117.5
East_Kootenay_BC	2	2	2	2	49.676	-115.276
Columbia_Shuswap_BC	2	2	2	2	51.416667	-117.666667
Strathcona_BC	2	2	2	2	50.3	-125.5
Bulkley_Nechako_BC	2	2	2	2	54.35	-125.735
Squamish_Lillooet_BC	2	2	2	2	50.5	-123
Kitimat_Stikine_BC	2	2	2	2	55.333333	-129
Kootenay_Boundary_BC	2	2	2	2	49.501	-117.052
Alberni_Clayoquot_BC	2	2	2	2	49.25	-125.333333
Sunshine_Coast_BC	2	2	2	2	50	-123.75
Powell_River_BC	2	2	2	2	50.3453	-124.3317
Skeena_Queen_Charlotte_BC	2	2	2	2	53.749	-132.003
Mount_Waddington_BC	2	2	2	2	50.75	-127
Northern_Rockies_BC	2	2	2	2	59	-123.75
Central_Coast_BC	2	2	2	2	52.166667	-127
Stikine_BC	2	2	2	2	48.449472	-123.361015
Division_No__11_MB	2	2	2	2	49.85	-97.208333
Division_No__2_MB	2	2	2	2	49.433333	-96.85
Division_No__7_MB	2	2	2	2	49.8	-99.779167
Division_No__3_MB	2	2	2	2	49.283333	-97.9
Division_No__13_MB	2	2	2	2	50.25	-96.733333
Division_No__22_MB	2	2	2	2	54.833333	-95.5
Division_No__9_MB	2	2	2	2	49.916667	-98.147222
Division_No__18_MB	2	2	2	2	51.033333	-97.566667
Division_No__17_MB	2	2	2	2	51.279167	-99.805556
Division_No__12_MB	2	2	2	2	50.039722	-96.693333
Division_No__15_MB	2	2	2	2	50.395278	-100.368889
Division_No__21_MB	2	2	2	2	54.333333	-99.666667
Division_No__14_MB	2	2	2	2	50.196389	-97.5625
Division_No__1_MB	2	2	2	2	49.883333	-95.966667
Division_No__19_MB	2	2	2	2	51.833333	-98
Division_No__8_MB	2	2	2	2	50.086111	-98.904167
Division_No__5_MB	2	2	2	2	49.266667	-100.375
Division_No__10_MB	2	2	2	2	49.816667	-97.55
Division_No__6_MB	2	2	2	2	49.8	-100.95
Division_No__20_MB	2	2	2	2	52.1	-100.85
Division_No__16_MB	2	2	2	2	50.983333	-101.05
Division_No__4_MB	2	2	2	2	49.266667	-98.883333
Division_No__23_MB	2	2	2	2	57.583333	-95.5
Westmorland_NB	2	2	2	2	46.06	-64.51
York_NB	2	2	2	2	46	-67
Gloucester_NB	2	2	2	2	47.717667	-64.822556
Saint_John_NB	2	2	2	2	45.3	-66
Kings_NB	2	2	2	2	45.660417	-65.789833
Northumberland_NB	2	2	2	2	47.033333	-65.583333
Madawaska_NB	2	2	2	2	47.421417	-68.360611
Restigouche_NB	2	2	2	2	47.726083	-67.0885
Kent_NB	2	2	2	2	46.583333	-64.8
Albert_NB	2	2	2	2	45.82	-64.85
Sunbury_NB	2	2	2	2	45.916667	-66.333333
Carleton_NB	2	2	2	2	46.35	-67.316667
Charlotte_NB	2	2	2	2	44.933333	-66.983333
Victoria_NB	2	2	2	2	47.075194	-67.329389
Queens_NB	2	2	2	2	45.833333	-66
Division_No__1_NL	2	2	2	2	47.55	-52.7
Division_No__5_NL	2	2	2	2	48.959167	-57.926111
Division_No__6_NL	2	2	2	2	49	-56
Division_No__8_NL	2	2	2	2	48.42	-53.88
Division_No__7_NL	2	2	2	2	48.633889	-53.040833
Division_No__10_NL	2	2	2	2	52.95	-66.916667
Division_No__2_NL	2	2	2	2	47.361667	-54.893056
Division_No__4_NL	2	2	2	2	48.55	-58.574167
Division_No__9_NL	2	2	2	2	50.333333	-57.531667
Division_No__3_NL	2	2	2	2	47.522222	-55.410833
Division_No__11_NL	2	2	2	2	55.0775	-59.188056
Halifax_NS	2	2	2	2	44.647778	-63.571389
Cape_Breton_NS	2	2	2	2	46	-60.3
Kings_NS	2	2	2	2	45	-64.6
Colchester_NS	2	2	2	2	45.4	-63.3
Lunenburg_NS	2	2	2	2	44.5	-64.5
Pictou_NS	2	2	2	2	45.5	-62.6
Hants_NS	2	2	2	2	45.1	-63.9
Cumberland_NS	2	2	2	2	45.7	-64.1
Yarmouth_NS	2	2	2	2	43.9	-65.8
Annapolis_NS	2	2	2	2	44.7	-65.2
Antigonish_NS	2	2	2	2	45.6	-61.9
Digby_NS	2	2	2	2	44.3	-65.8
Inverness_NS	2	2	2	2	46.2	-61.1
Shelburne_NS	2	2	2	2	43.8	-65.3
Queens_NS	2	2	2	2	44.2	-65
Richmond_NS	2	2	2	2	45.7	-60.8
Guysborough_NS	2	2	2	2	45.3	-61.8
Victoria_NS	2	2	2	2	46.4	-60.6
Region_6_NT	2	2	2	2	62.4422	-114.397
Region_5_NT	2	2	2	2	60.0053	-111.8906
Region_1_NT	2	2	2	2	68.361667	-133.730556
Region_4_NT	2	2	2	2	61.3547	-117.66
Region_3_NT	2	2	2	2	62.8025	-116.046
Region_2_NT	2	2	2	2	65.2811	-126.8314
Baffin_NU	2	2	2	2	70	-80
Keewatin_NU	2	2	2	2	67.383333	-88
Kitikmeot_NU	2	2	2	2	68.916667	-100.75
Toronto_ON	2	2	2	2	43.7	-79.4
Peel_ON	2	2	2	2	43.616667	-79.616667
York_ON	2	2	2	2	44.051389	-79.480278
Ottawa_ON	2	2	2	2	45.416667	-75.683333
Durham_ON	2	2	2	2	43.916667	-78.933333
Hamilton_ON	2	2	2	2	43.25	-79.866667
Waterloo_ON	2	2	2	2	43.466667	-80.5
Halton_ON	2	2	2	2	43.466667	-79.866667
Simcoe_ON	2	2	2	2	44.583333	-79.733333
Middlesex_ON	2	2	2	2	43	-81.5
Niagara_ON	2	2	2	2	43.05	-79.3
Essex_ON	2	2	2	2	42.166667	-82.783333
Wellington_ON	2	2	2	2	43.75	-80.4
Greater_Sudbury_Grand_Sudbury_ON	2	2	2	2	46.49	-81.01
Frontenac_ON	2	2	2	2	44.666667	-76.7
Thunder_Bay_ON	2	2	2	2	50	-88
Brant_ON	2	2	2	2	43.116667	-80.366667
Hastings_ON	2	2	2	2	44.75	-77.583333
Peterborough_ON	2	2	2	2	44.5	-78.166667
Lambton_ON	2	2	2	2	42.9	-82.1
Algoma_ON	2	2	2	2	48	-84.5
Stormont_Dundas_and_Glengarry_ON	2	2	2	2	45.166667	-74.95
Haldimand_Norfolk_ON	2	2	2	2	42.85	-80.266667
Oxford_ON	2	2	2	2	42.966667	-80.8
Chatham_Kent_ON	2	2	2	2	42.4	-82.183333
Renfrew_ON	2	2	2	2	45.666667	-77.25
Leeds_and_Grenville_ON	2	2	2	2	44.833333	-75.666667
Grey_ON	2	2	2	2	44.333333	-80.666667
Elgin_ON	2	2	2	2	42.75	-81.166667
Prescott_and_Russell_ON	2	2	2	2	45.466667	-74.833333
Nipissing_ON	2	2	2	2	46.3	-79.45
Northumberland_ON	2	2	2	2	44.116667	-78.033333
Cochrane_ON	2	2	2	2	50.5	-83
Perth_ON	2	2	2	2	43.5	-81.083333
Kawartha_Lakes_ON	2	2	2	2	44.35	-78.75
Bruce_ON	2	2	2	2	44.5	-81.25
Lanark_ON	2	2	2	2	45	-76.25
Huron_ON	2	2	2	2	43.666667	-81.4
Muskoka_ON	2	2	2	2	45.166667	-79.333333
Kenora_ON	2	2	2	2	49.766667	-94.483333
Dufferin_ON	2	2	2	2	44.083333	-80.166667
Parry_Sound_ON	2	2	2	2	45.7	-79.833333
Lennox_and_Addington_ON	2	2	2	2	44.666667	-77.166667
Timiskaming_ON	2	2	2	2	47.833333	-80.5
Prince_Edward_ON	2	2	2	2	44	-77.25
Sudbury_ON	2	2	2	2	47.5	-82
Rainy_River_ON	2	2	2	2	48.833333	-92
Haliburton_ON	2	2	2	2	45.083333	-78.5
Manitoulin_ON	2	2	2	2	45.766667	-82.2
Queens_PE	2	2	2	2	46.283333	-63.25
Prince_PE	2	2	2	2	46.75	-64.083333
Kings_PE	2	2	2	2	46.25	-62.5
Montréal_QC	2	2	2	2	45.5	-73.566667
Québec_QC	2	2	2	2	46.8161	-71.2242
Laval_QC	2	2	2	2	45.583333	-73.75
Longueuil_QC	2	2	2	2	45.533333	-73.516667
Gatineau_QC	2	2	2	2	45.483333	-75.65
Le_Saguenay_et_son_Fjord_QC	2	2	2	2	48.45	-70.9
Roussillon_QC	2	2	2	2	45.366667	-73.566667
Sherbrooke_QC	2	2	2	2	45.4	-71.9
Thérèse_De_Blainville_QC	2	2	2	2	45.666667	-73.883333
Francheville_QC	2	2	2	2	46.5	-72.416667
Les_Moulins_QC	2	2	2	2	45.75	-73.6
Vaudreuil_Soulanges_QC	2	2	2	2	45.35	-74.216667
Lévis_QC	2	2	2	2	46.8	-71.183333
L_Assomption_QC	2	2	2	2	45.8	-73.433333
La_Vallée_du_Richelieu_QC	2	2	2	2	45.566667	-73.2
La_Rivière_du_Nord_QC	2	2	2	2	45.816667	-74.016667
Le_Haut_Richelieu_QC	2	2	2	2	45.2	-73.233333
Drummond_QC	2	2	2	2	45.883333	-72.483333
Deux_Montagnes_QC	2	2	2	2	45.466667	-74.1
La_Haute_Yamaska_QC	2	2	2	2	45.4	-72.733333
Les_Maskoutains_QC	2	2	2	2	45.616667	-72.95
Lajemmerais_QC	2	2	2	2	45.683333	-73.433333
Arthabaska_QC	2	2	2	2	45.916667	-72.083333
Joliette_QC	2	2	2	2	46.016667	-73.45
Beauharnois_Salaberry_QC	2	2	2	2	45.32	-73.93
Brome_Missisquoi_QC	2	2	2	2	45.133333	-72.8
Rimouski_Neigette_QC	2	2	2	2	48.33	-68.67
Lac_Saint_Jean_Est_QC	2	2	2	2	48.55	-71.65
Beauce_Sartigan_QC	2	2	2	2	45.966667	-70.65
Pierre_De_Saurel_QC	2	2	2	2	45.966667	-73
Shawinigan_QC	2	2	2	2	46.566667	-72.75
Matawinie_QC	2	2	2	2	46.266667	-73.783333
Portneuf_QC	2	2	2	2	46.883333	-71.916667
Memphrémagog_QC	2	2	2	2	45.266667	-72.083333
Montcalm_QC	2	2	2	2	45.9	-73.666667
Les_Collines_de_l_Outaouais_QC	2	2	2	2	45.55	-75.866667
Les_Laurentides_QC	2	2	2	2	46.116667	-74.6
Les_Appalaches_QC	2	2	2	2	46.083333	-71.3
La_Vallée_de_l_Or_QC	2	2	2	2	48.383333	-77.233333
Nord_du_Québec_QC	2	2	2	2	56.166667	-74.416667
Mirabel_QC	2	2	2	2	45.65	-74.083333
D_Autray_QC	2	2	2	2	46.166667	-73.166667
Rouyn_Noranda_QC	2	2	2	2	48.233333	-79.016667
Les_Pays_d_en_Haut_QC	2	2	2	2	45.95	-74.133333
Sept_Riviéres__Caniapiscau_QC	2	2	2	2	51.891667	-68.165278
La_Jacques_Cartier_QC	2	2	2	2	47.033333	-71.583333
Maskinongé_QC	2	2	2	2	46.316667	-72.933333
Rouville_QC	2	2	2	2	45.433333	-73.05
Bellechasse_QC	2	2	2	2	46.733333	-70.716667
Antoine_Labelle_QC	2	2	2	2	46.883333	-75.333333
La_Nouvelle_Beauce_QC	2	2	2	2	46.45	-71.033333
Riviére_du_Loup_QC	2	2	2	2	47.9	-69.333333
Argenteuil_QC	2	2	2	2	45.683333	-74.416667
Manicouagan_QC	2	2	2	2	49.216667	-68.15
Le_Domaine_du_Roy_QC	2	2	2	2	48.483333	-72.35
Le_Val_Saint_François_QC	2	2	2	2	45.566667	-72.016667
Lotbinière_QC	2	2	2	2	46.516667	-71.6
Les_Jardins_de_Napierville_QC	2	2	2	2	45.166667	-73.516667
La_Côte_de_Beaupré_QC	2	2	2	2	47.05	-70.9
Maria_Chapdelaine_QC	2	2	2	2	48.983333	-72.283333
Abitibi_QC	2	2	2	2	48.566667	-78
L_Érable_QC	2	2	2	2	46.25	-71.75
Montmagny_QC	2	2	2	2	46.833333	-70.4
Nicolet_Yamaska_QC	2	2	2	2	46.066667	-72.833333
Papineau_QC	2	2	2	2	45.883333	-75.05
Le_Granit_QC	2	2	2	2	45.583333	-70.883333
Le_Haut_Saint_François_QC	2	2	2	2	45.466667	-71.533333
Matane_QC	2	2	2	2	48.85	-67.283333
Kamouraska_QC	2	2	2	2	47.533333	-69.816667
Le_Haut_Saint_Laurent_QC	2	2	2	2	45.08	-74.17
Abitibi_Ouest_QC	2	2	2	2	48.75	-79.166667
Témiscouata_QC	2	2	2	2	47.683333	-68.883333
La_Vallée_de_la_Gatineau_QC	2	2	2	2	46.533333	-76.05
Bécancour_QC	2	2	2	2	46.316667	-72.183333
Robert_Cliche_QC	2	2	2	2	46.2	-70.816667
La_Mitis_QC	2	2	2	2	48.53	-68.08
Coaticook_QC	2	2	2	2	45.133333	-71.8
La_Matapédia_QC	2	2	2	2	48.3	-67.566667
L_Islet_QC	2	2	2	2	47.1	-69.983333
Bonaventure_QC	2	2	2	2	48.05	-65.483333
La_Côte_de_Gaspé_QC	2	2	2	2	49.166667	-64.916667
Le_Rocher_Percé_QC	2	2	2	2	48.366667	-64.616667
Les_Etchemins_QC	2	2	2	2	46.4	-70.35
Témiscamingue_QC	2	2	2	2	47.55	-79.233333
Charlevoix_Est_QC	2	2	2	2	47.733333	-69.983333
Acton_QC	2	2	2	2	45.65	-72.566667
Avignon_QC	2	2	2	2	48.1	-66.85
La_Tuque_QC	2	2	2	2	47.433333	-72.783333
Les_Sources_QC	2	2	2	2	45.733333	-71.8
Pontiac_QC	2	2	2	2	46.05	-76.916667
Charlevoix_QC	2	2	2	2	47.483333	-70.483333
Mékinac_QC	2	2	2	2	46.816667	-72.516667
Les_Îles_de_la_Madeleine_QC	2	2	2	2	47.448333	-61.752222
La_Haute_Gaspésie_QC	2	2	2	2	49.216667	-66.066667
Minganie__Le_Golfe_du_Saint_Laurent_QC	2	2	2	2	50.233333	-63.6
La_Haute_Côte_Nord_QC	2	2	2	2	48.566667	-69.233333
Les_Basques_QC	2	2	2	2	48.1	-69.066667
L_Île_d_Orléans_QC	2	2	2	2	46.916667	-70.9
Division_No__11_SK	2	2	2	2	52.116667	-106.65
Division_No__6_SK	2	2	2	2	50.433333	-104.616667
Division_No__15_SK	2	2	2	2	53.2	-105.75
Division_No__7_SK	2	2	2	2	50.39	-105.54
Division_No__17_SK	2	2	2	2	53.087222	-109.292778
Division_No__16_SK	2	2	2	2	52.461667	-107.393056
Division_No__14_SK	2	2	2	2	53.28	-103.58
Division_No__18_SK	2	2	2	2	55.1	-105.3
Division_No__9_SK	2	2	2	2	51.57	-101.9
Division_No__5_SK	2	2	2	2	50.410278	-102.933611
Division_No__1_SK	2	2	2	2	49.14	-103.01
Division_No__8_SK	2	2	2	2	50.3	-107.8
Division_No__12_SK	2	2	2	2	52.79	-108.29
Division_No__13_SK	2	2	2	2	51.466667	-109.155833
Division_No__2_SK	2	2	2	2	49.67	-103.86
Division_No__10_SK	2	2	2	2	51.65	-103.53
Division_No__3_SK	2	2	2	2	49.62	-105.98
Division_No__4_SK	2	2	2	2	49.903611	-109.479722
Yukon_YT	2	2	2	2	64	-135
