Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Andorra_AD	77281	2	2	467.63	42.500000	1.516667
Berat_AL	139815	2	2	1798.00	41.000000	20.000000
Dibër_AL	134153	2	2	2586.00	42.000000	20
Durrës_AL	278775	2	2	766.00	41.500000	19.583333
Elbasan_AL	298913	2	2	3199.00	41.000000	20.166667
Fier_AL	312448	2	2	1890.00	40.750000	19.583333
Gjirokastër_AL	70331	2	2	2884.00	40.166667	20.166667
Korçë_AL	221706	2	2	3711.00	40.583333	20.666667
Kukës_AL	84035	2	2	2374.00	42.000000	20.000000
Lezhë_AL	135613	2	2	1620.00	41.750000	19.833333
Shkodër_AL	215483	2	2	3562.00	42.000000	20.000000
Tirana_AL	811649	2	2	1652.00	41.250000	19.750000
Vlorë_AL	183105	2	2	2706.00	41.000000	20.000000
Burgenland_AT	288229	2	2	3965.00	47.500000	16.416667
Kärnten_AT	557371	2	2	9536.00	46.761000	13.819
Niederösterreich_AT	1636287	2	2	19178.00	48.333333	15.75
Oberösterreich_AT	1436791	2	2	11982.00	48.300000	14.283333
Osttirol_AT	128000	2	2	2600.00	46.900000	12.600000
Salzburg_AT	538258	2	2	7154.00	47.767060	13.364131
Steiermark_AT	1221014	2	2	16401.00	47.250000	15.166667
Tirol_AT	600537	2	2	10048.00	47.268589	11.393256
Vorarlberg_AT	378490	2	2	2601.00	47.243611	9.893889
Wien_AT	1867960	2	2	4326.10	48.200000	16.366667
Bosnian_Podrinje_BA	25336	2	2	504.60	43.666667	18.986111
Central_Bosnia_BA	273149	2	2	3189.00	44.100000	17.65
Herzegovina-Neretva_BA	236278	2	2	4401.00	43.450000	17.816667
Posavina_BA	48089	2	2	324.60	45.036111	18.693333
Sarajevo_BA	438443	2	2	1276.90	43.850000	18.250000
Serbian_Republic_BA	1218107	2	2	24525.50	44.750000	17.316667
Tuzla_BA	477278	2	2	2649.00	44.550000	19.000000
Una-Sana_BA	299343	2	2	4125.00	44.733333	16.200000
West_Bosnia_BA	90727	2	2	4934.90	43.825278	17.005833
West_Herzegovina_BA	97893	2	2	1362.20	43.400000	17.416667
Zenica-Doboj_BA	385067	2	2	3334.30	44.233333	18.200000
Antwerp_BE	1836030	2	2	2860.00	51.216667	4.420000
Brussels_BE	1175173	2	2	161.38	50.850000	4.350000
East_Flanders_BE	1496187	2	2	2982.00	51.000000	3.750000
Flemish_Brabant_BE	1129849	2	2	2106.00	50.916667	4.583333
Hainaut_BE	1339562	2	2	3800.00	50.500000	3.920000
Liege_BE	1102531	2	2	3844.00	50.633333	5.566667
Limburg_BE	867413	2	2	2414.00	50.600000	5.933333
Luxembourg_BE	281972	2	2	4443.00	49.920000	5.420000
Namur_BE	491285	2	2	3664.00	50.466667	4.850000
Walloon_Brabant_BE	399123	2	2	1093.00	50.666667	4.583333
West_Flanders_BE	1186532	2	2	3151.00	51.000000	3.000000
Blagoevgrad_BG	323552	2	2	6449.47	41.750000	23.250000
Burgas_BG	415817	2	2	7748.07	42.500000	27.250000
Dobrich_BG	189677	2	2	4719.71	43.583333	28.000000
Gabrovo_BG	122702	2	2	2023.01	42.916667	25.250000
Grad_Sofiya_BG	1291591	2	2	1348.90	42.700000	23.330000
Haskovo_BG	246238	2	2	5533.29	41.833333	25.916667
Kardzhali_BG	152808	2	2	3209.11	41.650000	25.366667
Kyustendil_BG	136686	2	2	3051.52	42.250000	23.000000
Lovech_BG	141422	2	2	4128.76	43.000000	24.500000
Montana_BG	148098	2	2	3635.38	43.600000	23.183333
Pazardzhik_BG	275548	2	2	4456.92	42.083333	24.250000
Pernik_BG	133530	2	2	2394.22	42.583333	23.000000
Pleven_BG	269752	2	2	4653.32	43.416667	24.666667
Plovdiv_BG	683027	2	2	5972.89	42.166667	24.750000
Razgrad_BG	125190	2	2	2639.74	43.500000	26.583333
Ruse_BG	235252	2	2	2803.36	43.750000	26.000000
Shumen_BG	180528	2	2	3389.68	43.250000	27.000000
Silistra_BG	119474	2	2	2846.29	43.916667	27.166667
Sliven_BG	197473	2	2	3544.07	42.166667	24.750000
Smolyan_BG	121752	2	2	3192.85	41.666667	24.583333
Sofia_BG	247489	2	2	7062.33	42.666667	23.666667
Stara_Zagora_BG	333265	2	2	5151.12	42.416667	25.500000
Targovishte_BG	120818	2	2	2558.53	43.250000	26.500000
Varna_BG	475074	2	2	3819.47	43.216667	27.466667
Veliko_Tarnovo_BG	258494	2	2	4661.57	43.316667	25.550000
Vidin_BG	101018	2	2	3032.88	43.800000	22.683333
Vratsa_BG	186848	2	2	3619.77	43.516667	23.600000
Yambol_BG	131447	2	2	3355.48	42.416667	26.516667
Brest_BY	1401177	2	2	32790.68	52.382500	25.199722
Homyel_BY	1440718	2	2	40361.66	52.333333	29.666667
Hrodna_BY	1072381	2	2	25118.07	53.750000	25.333333
Mahilyow_BY	1099074	2	2	29079.01	53.900000	30.333333
Minsk_BY	3259336	2	2	40217.85	53.666667	27.750000
Vitsyebsk_BY	1230821	2	2	40049.99	55.333333	29.000000
Aargau_CH	663462	2	2	1404.00	47.083333	8.000000
Appenzell_Ausserrhoden_CH	54954	2	2	243.00	47.050000	9.016667
Appenzell_Innerrhoden_CH	16003	2	2	172.00	47.300000	9.400000
Basel-Landschaft_CH	286848	2	2	518.00	47.116667	7.733333
Basel-Stadt_CH	198249	2	2	37.00	47.566667	7.600000
Bern_CH	1026513	2	2	5960.00	46.833333	7.616667
Fribourg_CH	311914	2	2	1671.00	46.716667	7.083333
Genève_CH	489524	2	2	282.00	46.033333	6.116667
Glarus_CH	40147	2	2	685.00	46.983333	9.066667
Graubünden_CH	197550	2	2	7105.00	46.750000	9.500000
Jura_CH	73122	2	2	839.00	47.366667	7.150000
Lucerne_CH	403397	2	2	1494.00	47.083333	8.116667
Neuchâtel_CH	178567	2	2	802.00	46.983333	6.783333
Nidwalden_CH	42556	2	2	276.00	46.933333	8.066667
Obwalden_CH	37378	2	2	491.00	46.866667	8.033333
Sankt_Gallen_CH	502552	2	2	2031.00	47.333333	9.166667
Schaffhausen_CH	80769	2	2	298.00	47.716667	8.566667
Schwyz_CH	155863	2	2	908.00	47.066667	8.750000
Solothurn_CH	269441	2	2	790.00	47.150000	7.633333
Thurgau_CH	270709	2	2	992.00	47.583333	9.066667
Ticino_CH	354375	2	2	2812.00	46.316667	8.816667
Uri_CH	36145	2	2	1077.00	46.783333	8.616667
Valais_CH	339176	2	2	5224.00	46.066667	7.600000
Vaud_CH	784822	2	2	3212.00	46.616667	6.550000
Zug_CH	123948	2	2	239.00	47.000000	8.516667
Zürich_CH	1487969	2	2	1729.00	47.366667	8.550000
Akrotiri_CY	7700	2	2	123.00	34.600833	32.955000
Dhekelia_CY	8000	2	2	131.00	35.017400	33.773400
Famagusta_CY	47338	2	2	1985.30	35.333333	33.866667
Larnaca_CY	145365	2	2	1120.10	34.883333	33.466667
Limassol_CY	239842	2	2	1393.30	34.783333	32.916667
Nicosia_CY	334120	2	2	2710.00	35.066667	33.200000
Northern_Cyprus_CY	313626	2	2	3355.00	35.183333	33.366667
Paphos_CY	90295	2	2	1389.80	34.833333	32.583333
Jihoceský_CZ	637460	2	2	10056.79	49.083333	14.666667
Jihomoravský_CZ	1169788	2	2	7194.56	49.166667	16.583333
Karlovarský_CZ	310245	2	2	3314.46	50.228333	12.966667
Královéhradecký_CZ	555683	2	2	4758.54	50.209444	15.833333
Liberecký_CZ	439262	2	2	3162.93	50.710000	15.000000
Moravskoslezský_CZ	1236028	2	2	5426.83	49.780000	18.030000
Olomoucký_CZ	639946	2	2	5266.57	49.720000	17.110000
Pardubický_CZ	505285	2	2	4519.00	49.870000	16.170000
Plzenský_CZ	574694	2	2	7560.93	49.747500	13.377500
Prague_CZ	1272690	2	2	496.10	50.083333	14.416667
Stredoceský_CZ	1274633	2	2	11014.97	50.000000	14.533333
Ústecký_CZ	830371	2	2	5334.52	50.510000	13.850000
Vysocina_CZ	512727	2	2	6795.56	49.589444	15.655556
Zlínský_CZ	590459	2	2	3963.55	49.220000	17.740000
Baden-Württemberg_DE	10755000	2	2	35752.00	48.537778	9.041111
Bayern_DE	12542000	2	2	70552.00	48.777500	11.431111
Berlin_DE	3469000	2	2	892.00	52.516667	13.388889
Brandenburg_DE	2500000	2	2	29479.00	52.361944	13.008056
Bremen_DE	661000	2	2	419.00	53.075833	8.807500
Hamburg_DE	1788000	2	2	755.00	53.565278	10.001389
Hessen_DE	6066000	2	2	21115.00	50.666111	8.591111
Mecklenburg-Vorpommern_DE	1639000	2	2	23180.00	53.616667	12.700000
Niedersachsen_DE	7914000	2	2	47609.00	52.756111	9.393056
Nordrhein-Westfalen_DE	17837000	2	2	34085.00	51.466667	7.550000
Rheinland-Pfalz_DE	4052803	2	2	19853.00	49.913056	7.450000
Saarland_DE	1018000	2	2	2569.00	49.383056	6.833056
Sachsen_DE	4143000	2	2	18416.00	51.026944	13.358889
Sachsen-Anhalt_DE	2331000	2	2	20446.00	51.971111	11.470000
Schleswig-Holstein_DE	2833000	2	2	15799.00	54.470000	9.513889
Thüringen_DE	2231000	2	2	16172.00	50.861111	11.051944
Eysturoyar_DK	50322	2	2	1399.00	62.000000	-6.783333
Hovedstaden_DK	1821577	2	2	2546.30	55.939833	12.300000
Midtjylland_DK	1312985	2	2	13000.20	56.166667	9.500000
Nordjylland_DK	588962	2	2	7874.00	57.000000	10.000000
Sjaælland_DK	834740	2	2	7217.80	55.166667	11.833333
Syddanmark_DK	1220306	2	2	12191.00	55.333333	9.666667
Harju_EE	602409	2	2	4333.00	59.333333	25.000000
Hiiu_EE	9550	2	2	989.00	58.833333	22.666667
Ida-Viru_EE	140388	2	2	3364.00	59.216667	27.300000
Järva_EE	30841	2	2	2623.00	58.883333	25.550000
Jõgeva_EE	31368	2	2	2604.00	58.700000	26.400000
Lääne_EE	24948	2	2	2383.00	58.916667	23.750000
Lääne-Viru_EE	60411	2	2	3627.00	59.250000	26.333333
Pärnu_EE	86163	2	2	4807.00	58.416667	24.583333
Põlva_EE	28507	2	2	2165.00	58.083333	27.083333
Rapla_EE	34613	2	2	2980.00	58.916667	24.750000
Saare_EE	34041	2	2	2673.00	58.416667	22.583333
Tartu_EE	150167	2	2	2993.00	58.366667	26.716667
Valga_EE	30931	2	2	2044.00	57.866667	26.166667
Viljandi_EE	48101	2	2	3422.00	58.333333	25.583333
Võru_EE	37295	2	2	2305.00	57.750000	26.916667
Andalucía_ES	8388107	2	2	87268.00	37.383333	-5.983333
Aragón_ES	1308563	2	2	47719.00	41.000000	-1.000000
Cantabria_ES	582206	2	2	5321.00	43.333333	-4.000000
Castilla_y_León_ES	2447519	2	2	94223.00	41.383333	-4.450000
Castilla-La_Mancha_ES	2041631	2	2	79463.00	39.866667	-4.016667
Cataluña_ES	7522596	2	2	32114.00	41.816667	1.466667
Comunidad_de_Madrid_ES	6466996	2	2	8028.00	40.500000	-3.666667
Comunidad_Foral_de_Navarra_ES	640647	2	2	10391.00	42.816667	-1.650000
Comunidad_Valenciana_ES	4959968	2	2	23255.00	39.500000	-0.750000
Extremadura_ES	1087778	2	2	41634.00	39.000000	-6.000000
Galicia_ES	2718525	2	2	29574.00	42.500000	-8.100000
Islas_Baleares_ES	1107220	2	2	4992.00	39.500000	3.000000
La_Rioja_ES	315794	2	2	5045.00	42.250000	-2.500000
País_Vasco_ES	2189534	2	2	7234.00	42.833333	-2.683333
