Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Ashmore_and_Cartier_Islands_AU	0	2	2	199	-12.258333	123.041667
Australian_Capital_Territory_AU	397397	2	2	2358	-35.308056	149.124444
Jervis_Bay_Territory_AU	391	2	2	70	-35.148611	150.713611
Macquarie_Island_AU	0	2	2	128	-54.5	158.95
New_South_Wales_AU	7704300	2	2	800642	-32.161667	147.017778
Norfolk_Island_AU	382	2	2	14.55	-31.754167	159.251667
Northern_Territory_AU	244000	2	2	1349129	-20	133
Queensland_AU	4827000	2	2	1730648	-23	143
South_Australia_AU	1706500	2	2	983482	-30	135
Tasmania_AU	518500	2	2	68401	-42	147
Victoria_AU	6039100	2	2	227416	-37	144
Western_Australia_AU	2613700	2	2	2529875	-26	121
Central_FJ	365638	2	2	858.6	-18	178.333333
Eastern_FJ	38021	2	2	1376	-18.5	180
Northern_FJ	132501	2	2	6198	-16.5	179.5
Western_FJ	327635	2	2	6360	-18	177.5
Rotuma_FJ	1814	2	2	46	-12.5	177.08
Îles_Loyauté_NC	43451	2	2	1981	-21.066667	167.35
Sud_NC	208756	2	2	9407	-21.916667	166.333333
Nord_NC	68278	2	2	7348	-21	165
Norfolk_Island_NF	2302	2	2	35	-29.033333	167.950000
Antipodes_Islands_NZ	0	2	2	22	-49.6667	178.766667
Auckland_Islands_NZ	0	2	2	625	-50.7	166.1
Auckland_NZ	1657200	2	2	4940	-36.9	174.783333
Bay_of_Plenty_NZ	299900	2	2	12071	-37.666667	177
Bounty_Islands_NZ	0	2	2	1.35	-47.75	179.05
Campbell_Islands_NZ	0	2	2	113.3	-52.54	169.145
Canterbury_NZ	612000	2	2	44508	-43.6	172
Gisborne_District_NZ	48500	2	2	8386	-38.65	178
Hawke_s_Bay_NZ	164000	2	2	14137	-39.416667	176.816667
Manawatu-Wanganui_NZ	234500	2	2	22221	-39.6	175.6
Marlborough_District_NZ	46200	2	2	10458	-41.883333	173.666667
Nelson_City_NZ	51400	2	2	424	-41.270833	173.283889
Northland_NZ	175500	2	2	12498	-35.58	173.97
Otago_NZ	224200	2	2	31209	-45.883333	170.5
Southland_NZ	98300	2	2	31195	-45.7	168.1
Taranaki_NZ	118000	2	2	7254	-39.3	174.133333
Tasman_District_NZ	51100	2	2	9616	-41.5	172.8
The_Snares_NZ	0	2	2	4	-48.016667	166.533333
Three_Kings_Islands_NZ	0	2	2	5	-34.153889	172.14
Waikato_NZ	460100	2	2	23900	-37.5	175.333333
Wellington_NZ	513900	2	2	8049	-41.283333	174.766667
West_Coast_NZ	32400	2	2	23244	-42.6	171.4
Central_PG	269756	2	2	29998	-9.5	147.666667
Chimbu_PG	376473	2	2	6112	-6.433333	145
East_New_Britain_PG	328369	2	2	15274	-5.166667	151.75
East_Sepik_PG	450530	2	2	43426	-4.333333	143.25
Eastern_Highlands_PG	579825	2	2	11157	-6.5	145.666667
Enga_PG	432045	2	2	11704	-5.416667	143.5
Gulf_PG	158194	2	2	34472	-7.333333	145
Madang_PG	493906	2	2	28886	-5.166667	145.333333
Manus_PG	50231	2	2	2000	-2.083333	147
Milne_Bay_PG	276512	2	2	14345	-10.25	150
Morobe_PG	674810	2	2	33705	-6.833333	146.666667
National_Capital_District_PG	364125	2	2	240	-9.478472	147.148058
New_Ireland_PG	194067	2	2	9557	-3	151.5
North_Solomons_PG	249358	2	2	9384	-6	155
Northern_PG	186309	2	2	22735	-9	148.083333
Sandaun_PG	248411	2	2	35820	-3.666667	141.5
Southern_Highlands_PG	759694	2	2	25587	-6.166667	143.333333
West_New_Britain_PG	264264	2	2	20387	-5.833333	150
Western_Highlands_PG	706837	2	2	9097	-5.666667	144.5
Western_PG	201351	2	2	98189	-7.333333	142
Capital_Territory_Honiara_SB	64609	2	2	22	-9.431944	159.955556
Central_SB	26051	2	2	615	-9	159.75
Choiseul_SB	26371	2	2	3837	-7.000278	156.963889
Guadalcanal_SB	93613	2	2	5336	-9.75	160
Isabel_SB	26158	2	2	4136	-8	159.5
Makira_SB	40419	2	2	3188	-10.433	161.867
Malaita_SB	137596	2	2	4225	-9	161
Rennell_and_Bellona_SB	3041	2	2	671	-11.666667	160.166667
Temotu_SB	21362	2	2	895	-10.75	167
Western_SB	76649	2	2	5475	-8	157
Malampa_VU	40928	2	2	2779	-16.25	167.75
Penama_VU	32543	2	2	1198	-15.5	168
Sanma_VU	54184	2	2	4248	-15.333333	166.750000
Shefa_VU	97602	2	2	1455	-17.333333	168.500000
Tafea_VU	37050	2	2	1628	-19.5	169.500000
Torba_VU	10161	2	2	882	-13.75	167.500000
Coral_Sea_Islands_OT	4	2	2	10	-19.090833	150.901667
