Name	b	b	b	b	Lat	Long
Afghanistan	2	2	2	2	33	65
Albania	2	2	2	2	41	20
Algeria	2	2	2	2	28	2
American_Samoa	2	2	2	2	-14.3	-170.7
Andorra	2	2	2	2	42.5	1.516667
Angola	2	2	2	2	-12.5	18.5
Anguilla	2	2	2	2	18.22723	-63.04899
Antigua_and_Barbuda	2	2	2	2	17.05	-61.8
Argentina	2	2	2	2	-34	-64
Armenia	2	2	2	2	40	45
Aruba	2	2	2	2	12.5	-69.966667
Australia	2	2	2	2	-25	133
Austria	2	2	2	2	47.333333	13.333333
Azerbaijan	2	2	2	2	40.3	47.7
Bahamas	2	2	2	2	24.25	-76
Bahrain	2	2	2	2	26.0275	50.55
Bangladesh	2	2	2	2	23.8	90.3
Barbados	2	2	2	2	13.166667	-59.55
Belarus	2	2	2	2	53	23
Belgium	2	2	2	2	50.833333	4
Belize	2	2	2	2	17.066667	-88.7
Benin	2	2	2	2	6.466667	2.6
Bermuda	2	2	2	2	32.333333	-64.75
Bhutan	2	2	2	2	27.417	90.435
Bolivia	2	2	2	2	-16.712	-64.666
Bosnia_and_Herzegovina	2	2	2	2	44	18
Botswana	2	2	2	2	-24.658333	25.908333
Brazil	2	2	2	2	-10	-52
British_Indian_Ocean_Territory	2	2	2	2	-7.3	72.4
British_Virgin_Islands	2	2	2	2	18.5	-64.5
Brunei	2	2	2	2	4.5	114.666667
Bulgaria	2	2	2	2	42.75	25.5
Burkina_Faso	2	2	2	2	13	-2
Burundi	2	2	2	2	-3.5	30
Cambodia	2	2	2	2	13	105
Cameroon	2	2	2	2	6	12
Canada	2	2	2	2	60	-95
Cape_Verde	2	2	2	2	15.111111	-23.616667
Cayman_Islands	2	2	2	2	19.5	-80.5
Central_African_Republic	2	2	2	2	7	21
Chad	2	2	2	2	15	19
Chile	2	2	2	2	-30	-71
China	2	2	2	2	35	103
Christmas_Island	2	2	2	2	-10.483333	105.633333
Cocos_Islands	2	2	2	2	-12.186944	96.828333
Colombia	2	2	2	2	4	-72
Comoros	2	2	2	2	-12.166667	44.25
Congo	2	2	2	2	-1.44	15.556
Cook_Islands	2	2	2	2	-21.233333	-159.766667
Costa_Rica	2	2	2	2	10	-84
Cote_d_Ivoire	2	2	2	2	8	-5
Croatia	2	2	2	2	45.166667	15.5
Cuba	2	2	2	2	22	-80
Curacao	2	2	2	2	12.183333	-69
Cyprus	2	2	2	2	35	33
Czech_Republic	2	2	2	2	49.75	15.5
Denmark	2	2	2	2	56	10
Djibouti	2	2	2	2	11.5	43
Dominica	2	2	2	2	15.416667	-61.333333
Dominican_Republic	2	2	2	2	19	-70.666667
DR_Congo	2	2	2	2	-2.88	23.656
East_Timor	2	2	2	2	-8.34	125.34
Ecuador	2	2	2	2	-2	-77.5
Egypt	2	2	2	2	26	30
El_Salvador	2	2	2	2	13.833333	-88.916667
Equatorial_Guinea	2	2	2	2	1.5	10
Eritrea	2	2	2	2	15	39
Estonia	2	2	2	2	59	26
Ethiopia	2	2	2	2	8	38
Falkland_Islands	2	2	2	2	-51.683333	-59.166667
Faroe_Islands	2	2	2	2	62	-6.783333
Federated_States_of_Micronisia	2	2	2	2	6.916667	158.25
Fiji	2	2	2	2	-18	179
Finland	2	2	2	2	64	26
France	2	2	2	2	47	2
French_Guiana	2	2	2	2	4	-53
French_Polynesia	2	2	2	2	-17.533333	-149.566667
French_Southern___Antarctic_Lands	2	2	2	2	-49.25	69.167
FYROM	2	2	2	2	41.6	21.7
Gabon	2	2	2	2	-1	12
Gambia	2	2	2	2	13.466667	-16.6
Georgia	2	2	2	2	42	43.5
Germany	2	2	2	2	51	9
Ghana	2	2	2	2	7.816667	-1.05
Gibraltar	2	2	2	2	36.141244	-5.347369
Greece	2	2	2	2	39	22
Greenland	2	2	2	2	72	-40
Grenada	2	2	2	2	12.116667	-61.666667
Guadeloupe	2	2	2	2	16.25	-61.583333
Guam	2	2	2	2	13.5	144.8
Guatemala	2	2	2	2	15.5	-90.25
Guernsey	2	2	2	2	49.45	-2.6
Guinea	2	2	2	2	11	-10
Guinea_Bissau	2	2	2	2	12	-15
Guyana	2	2	2	2	5	-58.75
Haiti	2	2	2	2	19	-72.416667
Heard_Island___McDonald_Islands	2	2	2	2	-53.1	73.516667
Honduras	2	2	2	2	15	-86.5
Hong_Kong	2	2	2	2	22.3	114.2
Hungary	2	2	2	2	47	20
Iceland	2	2	2	2	65	-18
India	2	2	2	2	21	78
Indonesia	2	2	2	2	-5	120
Iran	2	2	2	2	32	53
Iraq	2	2	2	2	33	44
Ireland	2	2	2	2	53	-8
Isle_of_Man	2	2	2	2	54.25	-4.5
Israel	2	2	2	2	31	35
Italy	2	2	2	2	43	12
Jamaica	2	2	2	2	18	-77
Japan	2	2	2	2	35	136
Jersey	2	2	2	2	49.19	-2.11
Jordan	2	2	2	2	31.24	36.51
Kazakhstan	2	2	2	2	48	68
Kenya	2	2	2	2	1	38
Kiribati	2	2	2	2	1.416667	173
Kosovo	2	2	2	2	42.583333	21
Kuwait	2	2	2	2	29.5	45.75
Kyrgyzstan	2	2	2	2	41	75
Laos	2	2	2	2	18	105
Latvia	2	2	2	2	57	25
Lebanon	2	2	2	2	33.833333	35.833333
Lesotho	2	2	2	2	-29.6	28.3
Liberia	2	2	2	2	6.5	-9.5
Libya	2	2	2	2	27	17
Liechtenstein	2	2	2	2	47.166667	9.509722
Lithuania	2	2	2	2	55	24
Luxembourg	2	2	2	2	49.75	6.166667
Macau	2	2	2	2	22.166667	113.55
Madagascar	2	2	2	2	-20	47
Malawi	2	2	2	2	-13.5	34
Malaysia	2	2	2	2	2.5	112.5
Maldives	2	2	2	2	3.2	73.22
Mali	2	2	2	2	17	-4
Malta	2	2	2	2	35.883333	14.5
Marshall_Islands	2	2	2	2	9	168
Martinique	2	2	2	2	14.666667	-61
Mauritania	2	2	2	2	20	-12
Mauritius	2	2	2	2	-20.2	57.5
Mayote	2	2	2	2	-12.843056	45.138333
Mexico	2	2	2	2	23	-102
Moldova	2	2	2	2	47	29
Monacco	2	2	2	2	43.733333	7.416667
Mongolia	2	2	2	2	46	105
Montenegro	2	2	2	2	42.5	19.3
Montseratt	2	2	2	2	16.75	-62.2
Morocco	2	2	2	2	32	-6
Mozambique	2	2	2	2	-18.25	35
Myanmar	2	2	2	2	22	96
Namibia	2	2	2	2	-22	17
Nauru	2	2	2	2	-0.533333	166.933333
Nepal	2	2	2	2	28.166667	84.25
Netherlands	2	2	2	2	52.366667	4.883333
New_Caledonia	2	2	2	2	-21.25	165.3
New_Zealand	2	2	2	2	-42	174
Nicaragua	2	2	2	2	13.133333	-85.116667
