County	Population	Subnation	Nation	Total Area	Latitude	Longitude
Autauga__AL	54571	Alabama_US	United States	1565.358	32.536382	-86.64449
Baldwin__AL	182265	Alabama_US	United States	5250.712	30.659218	-87.746067
Barbour__AL	27457	Alabama_US	United States	2342.684	31.87067	-85.405456
Bibb__AL	22915	Alabama_US	United States	1621.77	33.015893	-87.127148
Blount__AL	57322	Alabama_US	United States	1685.119	33.977448	-86.567246
Bullock__AL	10914	Alabama_US	United States	1619.113	32.101759	-85.717261
Butler__AL	20947	Alabama_US	United States	2014.704	31.751667	-86.681969
Calhoun__AL	118572	Alabama_US	United States	1585.814	33.771706	-85.822513
Chambers__AL	34215	Alabama_US	United States	1562.057	32.917943	-85.391812
Cherokee__AL	25989	Alabama_US	United States	1553.935	34.069515	-85.654242
Chilton__AL	43643	Alabama_US	United States	1815.07	32.85406	-86.726628
Choctaw__AL	13859	Alabama_US	United States	2385.014	31.991008	-88.248887
Clarke__AL	25833	Alabama_US	United States	3244.152	31.685521	-87.818624
Clay__AL	13932	Alabama_US	United States	1569.537	33.267809	-85.862051
Cleburne__AL	14972	Alabama_US	United States	1453.018	33.671981	-85.516109
Coffee__AL	49948	Alabama_US	United States	1762.474	31.402183	-85.989201
Colbert__AL	54428	Alabama_US	United States	1611.308	34.703112	-87.801457
Conecuh__AL	13228	Alabama_US	United States	2208.54	31.428293	-86.992029
Coosa__AL	11539	Alabama_US	United States	1725.838	32.931445	-86.243482
Covington__AL	37765	Alabama_US	United States	2703.396	31.243987	-86.448721
Crenshaw__AL	13906	Alabama_US	United States	1582.264	31.732826	-86.319222
Cullman__AL	80406	Alabama_US	United States	1955.495	34.131923	-86.869267
Dale__AL	50251	Alabama_US	United States	1457.388	31.430654	-85.609476
Dallas__AL	43820	Alabama_US	United States	2573.942	32.33354	-87.114356
DeKalb__AL	71109	Alabama_US	United States	2016.786	34.460929	-85.803992
Elmore__AL	79303	Alabama_US	United States	1701.73	32.597229	-86.142739
Escambia__AL	38319	Alabama_US	United States	2468.62	31.121748	-87.168429
Etowah__AL	104430	Alabama_US	United States	1420.942	34.047638	-86.03442
Fayette__AL	17241	Alabama_US	United States	1630.024	33.732249	-87.752049
Franklin__AL	31704	Alabama_US	United States	1674.486	34.441988	-87.842815
Geneva__AL	26790	Alabama_US	United States	1499.476	31.090866	-85.824346
Greene__AL	9045	Alabama_US	United States	1709.238	32.844497	-87.964201
Hale__AL	15760	Alabama_US	United States	1700.33	32.752796	-87.623061
Henry__AL	17302	Alabama_US	United States	1471.913	31.516978	-85.239971
Houston__AL	101547	Alabama_US	United States	1506.478	31.158193	-85.296398
Jackson__AL	53227	Alabama_US	United States	2918.322	34.763522	-85.9774
Jefferson__AL	658466	Alabama_US	United States	2910.667	33.553444	-86.896536
Lamar__AL	14564	Alabama_US	United States	1568.145	33.787085	-88.087431
Lauderdale__AL	92709	Alabama_US	United States	1867.355	34.904122	-87.650997
Lawrence__AL	34339	Alabama_US	United States	1857.535	34.529776	-87.321865
Lee__AL	140247	Alabama_US	United States	1595.041	32.604064	-85.353048
Limestone__AL	82782	Alabama_US	United States	1572.61	34.810239	-86.9814
Lowndes__AL	11299	Alabama_US	United States	1877.923	32.147888	-86.650586
Macon__AL	21452	Alabama_US	United States	1588.199	32.387027	-85.692887
Madison__AL	334811	Alabama_US	United States	2104.888	34.764238	-86.55108
Marengo__AL	21027	Alabama_US	United States	2545.107	32.247591	-87.791091
Marion__AL	30776	Alabama_US	United States	1925.84	34.138219	-87.881551
Marshall__AL	93019	Alabama_US	United States	1614.026	34.309564	-86.321668
Mobile__AL	412992	Alabama_US	United States	4257.974	30.684573	-88.196568
Monroe__AL	23068	Alabama_US	United States	2679.128	31.580332	-87.383266
Montgomery__AL	229363	Alabama_US	United States	2071.762	32.203651	-86.203831
Morgan__AL	119490	Alabama_US	United States	1551.541	34.454484	-86.846402
Perry__AL	10591	Alabama_US	United States	1874.839	32.639005	-87.293827
Pickens__AL	19746	Alabama_US	United States	2305.415	33.296809	-88.096878
Pike__AL	32899	Alabama_US	United States	1743.078	31.798726	-85.941997
Randolph__AL	22913	Alabama_US	United States	1512.902	33.296475	-85.464068
Russell__AL	52947	Alabama_US	United States	1676.219	32.289811	-85.18698
St_Clair__AL	83593	Alabama_US	United States	1692.919	33.712963	-86.315663
Shelby__AL	195085	Alabama_US	United States	2096.661	33.262937	-86.678104
Sumter__AL	13763	Alabama_US	United States	2365.494	32.597481	-88.200057
Talladega__AL	82291	Alabama_US	United States	1969.184	33.369277	-86.175805
Tallapoosa__AL	41616	Alabama_US	United States	1984.589	32.863369	-85.799553
Tuscaloosa__AL	194656	Alabama_US	United States	3499.725	33.290202	-87.52286
Walker__AL	67023	Alabama_US	United States	2085.441	33.791571	-87.301092
Washington__AL	17581	Alabama_US	United States	2819.373	31.406974	-88.202078
Wilcox__AL	11670	Alabama_US	United States	2350.185	31.99033	-87.302205
Winston__AL	24484	Alabama_US	United States	1636.531	34.155888	-87.364147
Aleutians_East__AK	3141	Alaska_US	United States	38875.358	55.243722	-161.950749
Aleutians_West__AK	5561	Alaska_US	United States	36561.406	51.959447	178.338813
Anchorage__AK	291826	Alaska_US	United States	5078.97	61.177549	-149.274354
Bethel__AK	17013	Alaska_US	United States	117855.346	60.928916	-160.15335
Bristol_Bay__AK	997	Alaska_US	United States	2298.777	58.731373	-156.986612
Denali__AK	1826	Alaska_US	United States	33092.069	63.682732	-150.026719
Dillingham__AK	4847	Alaska_US	United States	54170.136	59.824816	-158.602233
Fairbanks_North_Star__AK	97581	Alaska_US	United States	19279.063	64.690832	-146.599867
Haines__AK	2508	Alaska_US	United States	7059.022	59.099905	-135.578102
Hoonah_Angoon__AK	2150	Alaska_US	United States	28267.524	58.076434	-135.1851
Juneau__AK	31275	Alaska_US	United States	8427.544	58.3727	-134.178781
Kenai_Peninsula__AK	55400	Alaska_US	United States	64108.206	60.366373	-152.321973
Ketchikan_Gateway__AK	13477	Alaska_US	United States	17232.647	55.449938	-131.106685
Kodiak_Island__AK	13592	Alaska_US	United States	31136.394	57.553611	-153.630911
Lake_and_Peninsula__AK	1631	Alaska_US	United States	85268.877	58.205065	-156.705188
MatanuskaSusitna__AK	88995	Alaska_US	United States	65416.898	62.182174	-149.407974
Nome__AK	9492	Alaska_US	United States	73238.698	64.783686	-164.188912
North_Slope__AK	9430	Alaska_US	United States	245521.234	69.449343	-153.47283
Northwest_Arctic__AK	7523	Alaska_US	United States	105539.253	67.005066	-160.021086
Petersburg__AK	3815	Alaska_US	United States	14721.662	56.639612	-133.527996
Prince_of_Wales_Hyder__AK	5559	Alaska_US	United States	19899.612	55.415683	-132.875734
Sitka__AK	8881	Alaska_US	United States	12461.548	57.142509	-135.332624
Skagway__AK	968	Alaska_US	United States	1201.847	59.575097	-135.335418
SE_Fairbanks__AK	7029	Alaska_US	United States	64903.711	63.864997	-143.218628
ValdezCordova__AK	9636	Alaska_US	United States	104480.567	61.34984	-145.023141
Wade_Hampton__AK	7459	Alaska_US	United States	50952.705	62.283174	-163.19095
Wrangell__AK	2369	Alaska_US	United States	8966.687	56.279121	-132.040326
Yakutat__AK	662	Alaska_US	United States	24508.712	59.999083	-140.239593
YukonKoyukuk__AK	5588	Alaska_US	United States	382812.22	65.376131	-151.576855
Apache__AZ	71518	Arizona_US	United States	29055.62	35.385845	-109.493747
Cochise__AZ	131346	Arizona_US	United States	16106.089	31.881793	-109.75412
Coconino__AZ	134421	Arizona_US	United States	48332.653	35.829692	-111.773728
