Name	d	d	d	d	lat	long
Aguascalientes	2	2	2	2	22.016667	-102.35
Baja_California	2	2	2	2	30	-115.166667
Baja_California_Sur	2	2	2	2	25.85	-111.966667
Campeche	2	2	2	2	18.833333	-90.4
Chiapas	2	2	2	2	16.416667	-92.416667
Chihuahua	2	2	2	2	28.816667	-106.433333
Coahuila	2	2	2	2	27.3	-102.05
Colima	2	2	2	2	19.166667	-103.883333
Durango	2	2	2	2	24.933333	-104.916667
Guanajuato	2	2	2	2	21.016667	-101.266667
Guerrero	2	2	2	2	17.616667	-99.95
Hidalgo	2	2	2	2	20.483333	-98.866667
Jalisco	2	2	2	2	20.566667	-103.683333
State_of_Mexico	2	2	2	2	19.35	-99.633333
Mexico_City	2	2	2	2	19.433333	-99.133333
Michoacán	2	2	2	2	19.166667	-101.9
Morelos	2	2	2	2	18.75	-99.066667
Nayarit	2	2	2	2	21.75	-105.233333
Nuevo_León	2	2	2	2	25.566667	-99.966667
Oaxaca	2	2	2	2	16.9	-96.416667
Puebla	2	2	2	2	19	-97.883333
Querétaro	2	2	2	2	20.583333	-100.383333
Quintana_Roo	2	2	2	2	19.6	-87.92
San_Luis_Potosí	2	2	2	2	22.6	-100.433333
Sinaloa	2	2	2	2	25	-107.5
Sonora	2	2	2	2	29.646111	-110.868889
Tabasco	2	2	2	2	17.966667	-92.583333
Tamaulipas	2	2	2	2	24.283333	-98.566667
Tlaxcala	2	2	2	2	19.433333	-98.166667
Veracruz	2	2	2	2	19.433333	-96.383333
Yucatán	2	2	2	2	20.833333	-89
Zacatecas	2	2	2	2	23.3	-102.7
