Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Ashmore_and_Cartier_Islands_AU	0	2	2	199	-12.258333	123.041667
Australian_Capital_Territory_AU	397397	2	2	2358	-35.308056	149.124444
Jervis_Bay_Territory_AU	391	2	2	70	-35.148611	150.713611
Macquarie_Island_AU	0	2	2	128	-54.5	158.95
New_South_Wales_AU	0	2	2	0	-32.161667	147.017778
Norfolk_Island_AU	382	2	2	14.55	-31.754167	159.251667
Northern_Territory_AU	0	2	2	0	-20	133
Queensland_AU	0	2	2	0	-23	143
South_Australia_AU	0	2	2	0	-30	135
Tasmania_AU	0	2	2	0	-42	147
Victoria_AU	0	2	2	0	-37	144
Western_Australia_AU	0	2	2	0	-26	121
Bayside Council_NW	156058	2	2	50	-33.95329	151.13996
Blacktown City of_NW	336962	2	2	247	-33.766667	150.916667
Burwood Municipality of_NW	36809	2	2	7	-33.883333	151.1
Camden Council_NW	78219	2	2	201	-34.05	150.7
Campbelltown City of_NW	157006	2	2	312	-34.066667	150.816667
Canada Bay City of_NW	88015	2	2	20	-33.85	151.15
Canterbury_Bankstown Council_NW	346302	2	2	110.8	-33.931667	151.085278
Cumberland Council_NW	216079	2	2	72	-33.8375	150.991667
Fairfield City of_NW	198817	2	2	102	-33.866667	150.916667
Georges River Council_NW	146841	2	2	38	-33.966667	151.133333
The Hills Shire_NW	157243	2	2	401	-33.766667	151
Hornsby Shire_NW	142667	2	2	462	-33.7	151.1
Hunters Hill Municipality of_NW	13999	2	2	6	-33.816667	151.133333
Inner West Council_NW	182043	2	2	35	-33.85895	151.17906
Ku_ring_gai Council_NW	118053	2	2	86	-33.754167	151.151667
Lane Cove Municipality of_NW	36051	2	2	11	-33.75	151.15
Liverpool City of_NW	204326	2	2	306	-33.933333	150.916667
Mosman Council_NW	28475	2	2	9	-33.833333	151.25
Northern Beaches Council_NW	252878	2	2	254	-33.75	151.283333
North Sydney Council_NW	67658	2	2	11	-33.833333	151.2
Parramatta Council City of_NW	226149	2	2	82	-33.816667	151
Penrith City of_NW	196066	2	2	405	-33.75	150.7
Randwick City of_NW	140660	2	2	36	-33.916667	151.25
Ryde City of_NW	116302	2	2	41	-33.816667	151.1
Strathfield Municipality of_NW	40312	2	2	14	-33.88081	151.08308
Sutherland Shire_NW	218464	2	2	370	-34.033333	151.05
Sydney City of_NW	208374	2	2	25	-33.866667	151.2
Waverley Municipality of_NW	66812	2	2	9	-33.9	151.266667
Willoughby City of_NW	74302	2	2	23	-33.8	151.183333
Woollahra Municipality of_NW	54240	2	2	12	-33.883333	151.25
Blue Mountains City of_NW	76904	2	2	1432	-33.7	150.3
Central Coast Council_NW	327736	2	2	1681	-33.433333	151.216667
Hawkesbury City of_NW	64592	2	2	2793	-33.416667	150.783333
Wollondilly Shire_NW	48519	2	2	2560	-34.183333	150.6
Bellingen Shire_NW	12668	2	2	1602	-30.45	152.9
Clarence Valley Council_NW	50671	2	2	10441	-29.683333	152.933333
Coffs Harbour City of_NW	72944	2	2	1175	-30.316667	153.116667
Kempsey Shire_NW	28885	2	2	3380	-31.083333	152.833333
Nambucca Shire_NW	19212	2	2	1491	-30.716667	152.916667
Port Macquarie_Hastings Council_NW	78539	2	2	3686	-31.433333	152.9
Lord Howe Island_NW	0	2	2	0	-31.554167	159.085
Albury City of_NW	51076	2	2	164.25	-36.05	146.95
Balranald Shire_NW	2287	2	2	21693	-34.616667	143.566667
Berrigan Shire_NW	8462	2	2	2066	-35.633333	145.8
Edward River Council_NW	8851	2	2	8881	-35.533333	144.966667
Federation Council_NW	12777	2	2	5685	-35.566667	146.3
Greater Hume Shire_NW	10351	2	2	5746	-35.70415	147.153631
Murray River Council_NW	11680	2	2	11865	-35.4	144.316667
Murrumbidgee Council_NW	3836	2	2	6880	-35.15	145.766667
Snowy Valleys Council_NW	14395	2	2	8960	-35.75	148
Wentworth Shire_NW	6794	2	2	26269	-34.083333	141.9
Carrathool Shire_NW	2719	2	2	18933	-33.966667	145.7
Coolamon Shire_NW	4315	2	2	2433	-34.833333	147.2
Griffith City of_NW	25641	2	2	1640	-34.29	146.04
Cootamundra_Gundagai Regional Council_NW	11141	2	2	3981	-34.8	148.116667
Hay Shire_NW	2946	2	2	11326	-34.5	144.85
Junee Shire_NW	6295	2	2	2030	-34.866667	147.566667
Leeton Shire_NW	11168	2	2	1167	-34.55	146.4
Lockhart Shire_NW	3119	2	2	2895	-35.216667	146.716667
Narrandera Shire_NW	5853	2	2	4117	-34.75	146.55
Temora Shire_NW	6110	2	2	2802	-34.433333	147.533333
Wagga Wagga City of_NW	62385	2	2	4826	-35.133333	147.366667
Cessnock City of_NW	55560	2	2	1966	-32.833333	151.35
Dungog Shire_NW	8975	2	2	2251	-32.4	151.75
Lake Macquarie City of_NW	197371	2	2	648	-33.033333	151.633333
Maitland City of_NW	77305	2	2	392	-32.75	151.583333
Mid_Coast Council_NW	90303	2	2	10053	-32	151.966667
Muswellbrook Shire_NW	16086	2	2	3405	-32.266667	150.9
Newcastle City of_NW	155411	2	2	187	-32.928333	151.781667
Port Stephens Council_NW	69556	2	2	979	-32.75	151.916667
Singleton Council_NW	22987	2	2	4893	-32.566667	151.166667
Upper Hunter Shire_NW	14112	2	2	8096	-32.083333	150.85
Kiama Municipality of_NW	21464	2	2	258	-34.65	150.85
Shellharbour City of_NW	68460	2	2	147	-34.583333	150.866667
Shoalhaven City of_NW	99650	2	2	4567	-35.116667	150.5
Wingecarribee Shire_NW	47882	2	2	2689	-34.466667	150.416667
Wollongong City of_NW	203630	2	2	684	-34.416667	150.883333
Ballina Shire_NW	41790	2	2	484	-28.833333	153.533333
Byron Shire_NW	31556	2	2	567	-28.55	153.5
Kyogle Council_NW	8940	2	2	3589	-28.625	153.012
Lismore City of_NW	43135	2	2	1290	-28.816667	153.283333
Richmond Valley Council_NW	22807	2	2	3051	-28.866667	153.05
Tweed Shire_NW	91371	2	2	1321	-28.333333	153.383333
Bega Valley Shire_NW	33253	2	2	6279	-36.666667	149.833333
Eurobodalla Shire_NW	37232	2	2	3428	-35.916667	150.1
Goulburn Mulwaree Council_NW	29609	2	2	3220	-34.733333	149.733333
Hilltops Council_NW	18498	2	2	7139	-34.416667	148.466667
Queanbeyan–Palerang Regional Council_NW	56027	2	2	8960	-35.416667	149.45
Snowy Monaro Regional Council_NW	20218	2	2	5319	-36.232	149.13
Upper Lachlan Shire_NW	7695	2	2	7102	-34.45	149.466667
Yass Valley Council_NW	16142	2	2	3999	-34.85	148.916667
Armidale Regional Council_NW	29449	2	2	8621	-30.5	151.666667
Glen Innes Severn Council_NW	8836	2	2	5487	-29.716667	151.75
Gunnedah Shire_NW	12215	2	2	4994	-30.966667	150.25
Gwydir Shire_NW	5258	2	2	9453	-29.866667	150.566667
Inverell Shire_NW	16483	2	2	8606	-29.766667	151.116667
Liverpool Plains Shire_NW	7687	2	2	5086	-31.483333	150.683333
Moree Plains Shire_NW	13159	2	2	17930	-29.466667	149.833333
Narrabri Shire_NW	13084	2	2	13031	-30.316667	149.766667
Tamworth Regional Council_NW	59663	2	2	9892	-31.083333	150.916667
Tenterfield Shire_NW	6628	2	2	7332	-29.0525	152.018611
Uralla Shire_NW	6048	2	2	3230	-30.65	151.5
Walcha Shire_NW	3092	2	2	2621	-30.983333	151.6
