Name	b	b	b	b	Lat	Long
Afghanistan	0	2	2	0	33	65
Albania	0	2	2	0	41	20
Algeria	0	2	2	0	28	2
American_Samoa	0	2	2	0	-14.3	-170.7
Andorra	0	2	2	0	42.5	1.516667
Angola	0	2	2	0	-12.5	18.5
Anguilla	0	2	2	0	18.22723	-63.04899
Antigua_and_Barbuda	0	2	2	0	17.05	-61.8
Argentina	0	2	2	0	-34	-64
Armenia	0	2	2	0	40	45
Aruba	0	2	2	0	12.5	-69.966667
Australia	0	2	2	0	-25	133
Austria	0	2	2	0	47.333333	13.333333
Azerbaijan	0	2	2	0	40.3	47.7
Bahamas	0	2	2	0	24.25	-76
Bahrain	0	2	2	0	26.0275	50.55
Bangladesh	0	2	2	0	23.8	90.3
Barbados	0	2	2	0	13.166667	-59.55
Belarus	0	2	2	0	53	23
Belgium	0	2	2	0	50.833333	4
Belize	0	2	2	0	17.066667	-88.700000
Benin	0	2	2	0	6.466667	2.6
Bermuda	0	2	2	0	32.333333	-64.75
Bhutan	0	2	2	0	27.417	90.435
Bolivia	0	2	2	0	-16.712	-64.666
Bosnia_and_Herzegovina	0	2	2	0	44	18
Botswana	0	2	2	0	-24.658333	25.908333
Brazil	0	2	2	0	-10	-52
British_Indian_Ocean_Territory	0	2	2	0	-7.3	72.4
British_Virgin_Islands	0	2	2	0	18.5	-64.5
Brunei	0	2	2	0	4.5	114.666667
Bulgaria	0	2	2	0	42.75	25.5
Burkina_Faso	0	2	2	0	13	-2
Burundi	0	2	2	0	-3.5	30
Cambodia	0	2	2	0	13	105
Cameroon	0	2	2	0	6	12
Canada	0	2	2	0	60	-95
Cape_Verde	0	2	2	0	15.111111	-23.616667
Cayman_Islands	0	2	2	0	19.5	-80.5
Central_African_Republic	0	2	2	0	7	21
Chad	0	2	2	0	15	19
Chile	0	2	2	0	-30	-71
China	0	2	2	0	35	103
Christmas_Island	0	2	2	0	-10.483333	105.633333
Cocos_Islands	0	2	2	0	-12.186944	96.828333
Colombia	0	2	2	0	4	-72
Comoros	0	2	2	0	-12.166667	44.25
Congo	0	2	2	0	-1.44	15.556000
Cook_Islands	0	2	2	0	-21.233333	-159.766667
Costa_Rica	0	2	2	0	10	-84
Cote_d_Ivoire	0	2	2	0	8	-5
Croatia	0	2	2	0	45.166667	15.5
Cuba	0	2	2	0	22	-80
Curacao	0	2	2	0	12.183333	-69
Cyprus	0	2	2	0	35	33
Czech_Republic	0	2	2	0	49.75	15.5
Denmark	0	2	2	0	56	10
Djibouti	0	2	2	0	11.5	43
Dominica	0	2	2	0	15.416667	-61.333333
Dominican_Republic	0	2	2	0	19	-70.666667
DR_Congo	0	2	2	0	-2.88	23.656
East_Timor	0	2	2	0	-8.34	125.34
Ecuador	0	2	2	0	-2	-77.5
Egypt	0	2	2	0	26	30
El_Salvador	0	2	2	0	13.833333	-88.916667
Equatorial_Guinea	0	2	2	0	1.5	10
Eritrea	0	2	2	0	15	39
Estonia	0	2	2	0	59	26
Ethiopia	0	2	2	0	8	38
Falkland_Islands	0	2	2	0	-51.683333	-59.166667
Faroe_Islands	0	2	2	0	62	-6.783333
Federated_States_of_Micronisia	0	2	2	0	6.916667	158.25
Fiji	0	2	2	0	-18	179
Finland	0	2	2	0	64	26
France	0	2	2	0	47	2
French_Guiana	0	2	2	0	4	-53.000000
French_Polynesia	0	2	2	0	-17.533333	-149.566667
French_Southern___Antarctic_Lands	0	2	2	0	-49.25	69.167000
FYROM	0	2	2	0	41.6	21.700000
Gabon	0	2	2	0	-1	12
Gambia	0	2	2	0	13.466667	-16.600000
Georgia	0	2	2	0	42	43.500000
Germany	0	2	2	0	51	9.000000
Ghana	0	2	2	0	7.816667	-1.050000
Gibraltar	0	2	2	0	36.141244	-5.347369
Greece	0	2	2	0	39	22.000000
Greenland	0	2	2	0	72	-40.000000
Grenada	0	2	2	0	12.116667	-61.666667
Guadeloupe	0	2	2	0	16.250000	-61.583333
Guam	0	2	2	0	13.500000	144.800000
Guatemala	0	2	2	0	15.500000	-90.250000
Guernsey	0	2	2	0	49.450000	-2.600000
Guinea	0	2	2	0	11.000000	-10.000000
Guinea_Bissau	0	2	2	0	12.000000	-15.000000
Guyana	0	2	2	0	5.000000	-58.750000
Haiti	0	2	2	0	19.000000	-72.416667
Heard_Island___McDonald_Islands	0	2	2	0	-53.100000	73.516667
Honduras	0	2	2	0	15.000000	-86.500000
Hong_Kong	0	2	2	0	22.300000	114.200000
Hungary	0	2	2	0	47.000000	20.000000
Iceland	0	2	2	0	65.000000	-18.000000
India	0	2	2	0	21.000000	78.000000
Indonesia	0	2	2	0	-5.000000	120.000000
Iran	0	2	2	0	32.000000	53.000000
Iraq	0	2	2	0	33.000000	44.000000
Ireland	0	2	2	0	53.000000	-8.000000
Isle_of_Man	0	2	2	0	54.250000	-4.500000
Israel	0	2	2	0	31.000000	35.000000
Italy	0	2	2	0	43.000000	12.000000
Jamaica	0	2	2	0	18.000000	-77.000000
Japan	0	2	2	0	35.000000	136.000000
Jersey	0	2	2	0	49.190000	-2.110000
Jordan	0	2	2	0	31.240000	36.510000
Kazakhstan	0	2	2	0	48.000000	68.000000
Kenya	0	2	2	0	1.000000	38.000000
Kiribati	0	2	2	0	1.416667	173.000000
Kosovo	0	2	2	0	42.583333	21.000000
Kuwait	0	2	2	0	29.500000	45.750000
Kyrgyzstan	0	2	2	0	41.000000	75.000000
Laos	0	2	2	0	18.000000	105.000000
Latvia	0	2	2	0	57.000000	25.000000
Lebanon	0	2	2	0	33.833333	35.833333
Lesotho	0	2	2	0	-29.600000	28.300000
Liberia	0	2	2	0	6.500000	-9.500000
Libya	0	2	2	0	27.000000	17.000000
Liechtenstein	0	2	2	0	47.166667	9.509722
Lithuania	0	2	2	0	55.000000	24.000000
Luxembourg	0	2	2	0	49.750000	6.166667
Macau	0	2	2	0	22.166667	113.550000
Madagascar	0	2	2	0	-20.000000	47.000000
Malawi	0	2	2	0	-13.500000	34.000000
Malaysia	0	2	2	0	2.500000	112.500000
Maldives	0	2	2	0	3.200000	73.220000
Mali	0	2	2	0	17.000000	-4.000000
Malta	0	2	2	0	35.883333	14.500000
Marshall_Islands	0	2	2	0	9.000000	168.000000
Martinique	0	2	2	0	14.666667	-61.000000
Mauritania	0	2	2	0	20.000000	-12.000000
Mauritius	0	2	2	0	-20.200000	57.500000
Mayote	0	2	2	0	-12.843056	45.138333
Mexico	0	2	2	0	23.000000	-102.000000
Moldova	0	2	2	0	47.000000	29.000000
Monacco	0	2	2	0	43.733333	7.416667
Mongolia	0	2	2	0	46.000000	105.000000
